,HighWeight,LowWeight,RelativeWeight
MUSICAL INTONATION,8.0,,
MICROPHONE,8.0,8.0,1.0
HIGH PITCHES,52.0,,
BRAND MENTION,6.0,,
ON-SCREEN TEXT,22.0,12.0,1.8333333333333333
BRANDED PRODUCTS,7.0,1.0,7.0
PAUSES AND SILENCES,1.0,6.0,0.16666666666666666
HOTEL SNOB,,7.0,
DISCOUNT CODE,7.0,,
INTERACTION WITH THE PRODUCT,,7.0,
VERBAL CUES,7.0,,
HAT/CAP,6.0,,
HAND GESTURE,94.0,48.0,1.9583333333333333
SPOKEN-WORD QUALITY,7.0,,
RUNNING ATTIRE,8.0,,
PENDANT NECKLACE,8.0,,
HUMOROUS TIKTOK SKIT,9.0,,
FEMALE INFLUENCER,907.0,365.0,2.484931506849315
SILENCES IN AUDIO,,6.0,
RUNNING POSTURE,8.0,,
SYNTH MELODY,7.0,,
CANON MIRRORLESS CAMERA,8.0,,
EYE AND HEAD MOVEMENTS,131.0,30.0,4.366666666666666
BODY POSTURE,40.0,6.0,6.666666666666667
HUMOROUS TAKE,8.0,,
COFFEE SHOP SETTING,,6.0,
HIP HOP MUSIC,7.0,,
MOUNTAINOUS LANDSCAPE,,5.0,
PRODUCT INTRODUCTION,22.0,20.0,1.1
SHOPPING LIST,7.0,,
NARRATIVE THEME,,7.0,
TOWEL SWAN,8.0,,
WOMAN IN CONVERSATION,,1.0,
PRODUCT FEATURE MOMENTS,35.0,12.0,2.9166666666666665
GRAY SHIRT,5.0,,
BOOKS OR NOTEBOOKS,7.0,,
THE AXE GAME,7.0,,
FAST-FOOD MEAL,8.0,,
T-SHIRT GRAPHIC,1.0,,
ENGLISH LANGUAGE,8.0,,
BOOTLICKERS,7.0,,
TREADMILL RUNNING TECHNIQUES,8.0,,
SLOW SPEECH,7.0,,
MALE INFLUENCER,322.0,56.0,5.75
DISCOMFORT,22.0,,
OMINOUS CHIME,1.0,,
GYM OR HOME WORKOUT AREA,7.0,,
CHAIN NECKLACE,6.0,,
OVERALL HUMOR,,7.0,
AUDIO ECHO,7.0,,
FITNESS EVENT,9.0,,
CAMERA MOVEMENT,8.0,,
BLACK COOKING POT,7.0,,
BANANA SYRUP TUTORIAL,9.0,,
"SHIRT WITH ""EMBRACE THE SUCK""",,7.0,
FOOD REVIEW,,7.0,
SINCERITY,61.0,,
SILENCES AND PAUSES,86.0,23.0,3.739130434782609
MEDIUM SILENCES,46.0,11.0,4.181818181818182
SPANISH SONG,2.0,,
WALMART,,18.0,
GLASS MIXING BOWL,6.0,,
POV SCENARIO,8.0,,
PRODUCT OR SERVICE,7.0,,
CAMERA,8.0,,
HAND AND FINGER GESTURES,111.0,39.0,2.8461538461538463
BEVERAGE,7.0,,
RHYTHMIC DELIVERY,8.0,,
PEACE SIGN GESTURE,15.0,6.0,2.5
POSTURE AND MOVEMENT,1.0,,
CANON R6,8.0,,
PHYSICAL EXPRESSIONS,8.0,,
KITCHEN SETUP,8.0,,
COZY ROOM,16.0,,
RED SHORTS,1.0,,
PHONE CALL AUDIO,,7.0,
RACIAL EXCLUSIVITY,8.0,,
KITCHEN SETTING,40.0,,
SUBURBAN STREET,8.0,,
DYNAMIC FACIAL EXPRESSIONS,16.0,,
LUXURIOUS HOTEL,,7.0,
DRUG-RELATED DISCUSSION,,1.0,
SPOUSE,8.0,,
TONE OF VOICE,7.0,,
BRAND LOGOS,1.0,,
TIKTOK HANDLE,40.0,37.0,1.0810810810810811
SEATED POSTURE,14.0,6.0,2.3333333333333335
PRODUCTS IN BACKGROUND,6.0,,
VLOG-STYLE FORMAT,10.0,,
ELECTRONIC DRUMS,8.0,,
"BRANSON, MISSOURI",8.0,,
RUNNING FORM,16.0,,
RUNNING ACTIVITY,9.0,,
SEASONING PACKET,7.0,,
FRENCH LYRICS,1.0,,
COOKING TECHNIQUE,17.0,,
MALE VOICE,58.0,17.0,3.411764705882353
SOUNDS OF DISGUST,,7.0,
POLICE BRUTALITY,8.0,,
TRIO,,1.0,
NIGERIAN LAW,8.0,,
CAVA ORDER,,6.0,
VOCAL INFLECTION,6.0,,
OUTDOOR SETTING,56.0,7.0,8.0
SENNHEISER MKE 400,8.0,,
SHORT SILENCES,50.0,11.0,4.545454545454546
COUNTRY AS A JOKE,1.0,,
BODY MOVEMENTS,8.0,,
VISUAL CUES,7.0,,
MALE VOCALS,1.0,6.0,0.16666666666666666
LOGOS AND BRAND NAMES,6.0,,
ATHLETIC GEAR,8.0,,
HEAD AND EYE MOVEMENTS,38.0,20.0,1.9
TIKTOK WATERMARK,103.0,53.0,1.9433962264150944
SAUCE PACKETS,7.0,,
OVERCAST SKY,7.0,,
MORNING ROUTINE,36.0,7.0,5.142857142857143
XIAOMI 12S ULTRA,8.0,,
GREEN SHIRT,12.0,,
GLOBE,7.0,,
SUGAR,15.0,,
NIGHT SKY,,5.0,
NARROW PITCH RANGE,6.0,,
RECURRING PITCH PATTERNS,32.0,,
PERSONAL STORY,8.0,,
SPONSORSHIP STRATEGIES,52.0,21.0,2.4761904761904763
HAND AND FINGER MOVEMENTS,26.0,23.0,1.1304347826086956
BACKGROUND VOCALS,15.0,,
ROMANTIC R&B SONG,1.0,,
FOOT MOVEMENT,1.0,,
VOCAL EMPHASIS,7.0,,
CALL TO ACTION,10.0,8.0,1.25
RAP SONG,8.0,,
VIEWER'S COMMENT,16.0,,
POOL SCENE,,6.0,
MELODIC RAPPING,8.0,,
WOODEN SPOON,7.0,,
DINING EXPERIENCE SCENE,,6.0,
TRAP BEAT,,1.0,
IPHONE 14 PRO,8.0,,
NATHANIEL HUGHES,7.0,,
SPONSORSHIP INDICATORS,35.0,20.0,1.75
POOR AUDIO QUALITY,,5.0,
CHRISTOPHER CHAOS LOGO,,6.0,
CLOTHING WITH TEXT AND GRAPHICS,7.0,,
GAMING CHAIR,6.0,,
TREADMILL,16.0,,
EYE MOVEMENTS,47.0,43.0,1.0930232558139534
LAUGH SOUND,1.0,,
SILENCE AND PAUSES,7.0,,
VINYL RECORD SCRATCH,7.0,,
TIKTOK USERNAME,64.0,23.0,2.782608695652174
MALE VOCALIST SONG,,1.0,
RUNNING TIPS,9.0,,
KITCHEN OR BAR SETTING,8.0,,
NON-VERBAL VOCAL SOUNDS,36.0,8.0,4.5
SIGH SOUNDS,5.0,,
RECIPE AUDIO,1.0,,
MALE VOCALIST,11.0,7.0,1.5714285714285714
ENTERTAINMENT VENUE,9.0,,
FACIAL EXPRESSION,40.0,13.0,3.076923076923077
CLEAR IPHONE CASE,,12.0,
BADGE BUNNIES,7.0,,
SPONSORED CONTENT INDICATORS,18.0,,
REPRESENTATION IN EDUCATION,8.0,,
POLICE REFORM,8.0,,
TIKTOK,7.0,,
AUDIO DESCRIPTION,275.0,72.0,3.8194444444444446
BODY OF WATER,,6.0,
CASUAL CLOTHING,7.0,,
FACIAL EXPRESSIONS,339.0,105.0,3.2285714285714286
WISHFUL THINKING CAKES,7.0,,
LUSH GREEN FIELD,9.0,,
OUTDOOR LOCATION,,6.0,
OUTDOOR URBAN SETTING,8.0,6.0,1.3333333333333333
POSTURE,41.0,11.0,3.727272727272727
"PHRASE ""TELL NOBODY""",7.0,,
CROUCHING AND JUMPING MOVEMENT,8.0,,
ROOM INSPECTION SCENE,,6.0,
CORI,7.0,,
LOW AUTHENTIC VIDEO,1.0,10.0,0.1
OVERALL DEMEANOR,10.0,,
SPONSORSHIP IDENTIFICATION,7.0,,
UPBEAT LATIN MUSIC,13.0,,
BASEBALL CAP,5.0,,
HUMOROUS THEME,8.0,,
EDEN,7.0,,
COMEDIC SKIT,16.0,,
GLASSES,27.0,12.0,2.25
COMMENT BUBBLE,7.0,,
AUDIENCE ENGAGEMENT,43.0,6.0,7.166666666666667
WINDOWS PHONE,1.0,,
INDOOR ENVIRONMENT,24.0,6.0,4.0
PRODUCT,50.0,7.0,7.142857142857143
AMERICAN FLAG,,6.0,
BACKGROUND NOISE,161.0,69.0,2.3333333333333335
LONG SILENCES,2.0,,
SMARTPHONE,16.0,7.0,2.2857142857142856
12S ULTRA,8.0,,
EYE CONTACT,42.0,6.0,7.0
MARATHON ADVICE,8.0,,
WALKIE-TALKIE,8.0,,
SPEECH PATTERNS,15.0,7.0,2.142857142857143
SLOW SPEECH RATE,7.0,7.0,1.0
ON-SCREEN COMMENT,8.0,,
SOCIAL HANDLE,16.0,,
HEAD MOVEMENTS,30.0,41.0,0.7317073170731707
HIP HOP SONG,7.0,,
SOUND EFFECTS,1.0,,
HAND GESTURES,156.0,38.0,4.105263157894737
MOCKING TONE,,6.0,
WARM LIGHTING,17.0,6.0,2.8333333333333335
GALAXY Z FLIP 4,1.0,,
SOUL MUSIC,,6.0,
"CAP WITH ""BATTLE AGILE""",,6.0,
MALE NARRATOR,8.0,6.0,1.3333333333333333
CASUAL ATTIRE,37.0,7.0,5.285714285714286
SKINCARE PRODUCTS,14.0,7.0,2.0
GESTURES,40.0,12.0,3.3333333333333335
PRODUCT PLACEMENT,81.0,27.0,3.0
EMOTIONAL STATE,13.0,16.0,0.8125
SILENT SECTIONS,,6.0,
HIGH AUTHENTIC VIDEO,10.0,1.0,10.0
BLUE SLEEVELESS SHIRT,1.0,,
RESIDENTIAL AREA,24.0,6.0,4.0
GAVEL,7.0,,
VERBAL OR TEXT DISCLOSURE,6.0,,
SPONSORED PRODUCT,14.0,,
APP WATERMARK,7.0,,
SECOND INDIVIDUAL,7.0,,
PRODUCT PRESENTATION,9.0,,
UPBEAT MUSIC,29.0,8.0,3.625
CASUAL SETTING,91.0,,
ACOUSTIC GUITAR,9.0,,
BLACK HISTORY MONTH,8.0,,
ARTICULATION CLARITY,84.0,25.0,3.36
POLICE CRUISERS,8.0,,
AUDIO COMMENTARY,,1.0,
AUDIO TUTORIAL,17.0,,
TEXT BRAND ON HOODIE,6.0,,
RAP LYRICS,17.0,6.0,2.8333333333333335
LOW PITCHES,51.0,7.0,7.285714285714286
PARKING LOT,1.0,,
AMERICAN ACCENT,37.0,,
EXPRESSIONS AND GESTURES,8.0,,
ANGRY TONE,,6.0,
POSITIVE EMOTIONAL STATE,11.0,8.0,1.375
FLYER,7.0,,
INDOOR KITCHEN SETTING,31.0,,
BODY LANGUAGE,92.0,37.0,2.4864864864864864
S22 ULTRA,8.0,,
ELECTRONIC BEAT,8.0,,
PATRIOTIC SETTING,,7.0,
AFRICAN-AMERICAN STUDIES,1.0,,
RED LED LIGHTING,,5.0,
SYNTHESIZER,8.0,,
FITNESS TIPS,9.0,,
AUDIO CHARACTERISTICS,9.0,,
CHIME SOUND EFFECT,7.0,,
SOONG HAK KOREAN BARBECUE,7.0,,
TRENDING TOPIC,8.0,,
UPRIGHT POSTURE,7.0,7.0,1.0
INDOOR SETTING,386.0,109.0,3.541284403669725
BRAND VISIBILITY,8.0,6.0,1.3333333333333333
WALL DECOR,20.0,,
PARENTS,15.0,,
SAMSUNG GALAXY S22 ULTRA,1.0,,
HAND AND FINGER GESTURE,7.0,18.0,0.3888888888888889
TEMU PRODUCTS,8.0,,
EQUAL RIGHTS,8.0,,
MELANCHOLIC MUSIC,1.0,,
PATTERNED SURFACE,6.0,,
CASUAL OUTFIT,7.0,5.0,1.4
BACKGROUND MUSIC,158.0,19.0,8.31578947368421
HAT WITH LOGO,7.0,,
NON-VERBAL SOUNDS,1.0,2.0,0.5
REVERB/DELAY,8.0,,
LARGE POT,7.0,,
MALE COMPANION,,7.0,
AGGRESSIVE TONE,,6.0,
BLUE CLOTHING,6.0,,
HUMOROUS TIKTOK POST,8.0,,
SUBURBAN NEIGHBORHOOD,15.0,,
YOUNG MAN WITH BACKPACK,,7.0,
POV STYLE,,7.0,
EXPRESSIVE GESTURES,8.0,7.0,1.1428571428571428
LIGHTING FIXTURE,6.0,5.0,1.2
TECH-RELATED BACKGROUND,7.0,,
TARGET STORE,7.0,,
ANIMATED SCENE,,7.0,
ROWBOAT,,6.0,
MALE SPEAKER,43.0,13.0,3.3076923076923075
ENTHUSIASM,32.0,,
TEXT OVERLAY,346.0,165.0,2.096969696969697
DIGITAL STORAGE OPTIONS,8.0,,
PHONE COMPARISON,8.0,,
